Year,Seed,School,Round Finished,Conf,G,Rec,AdjOE,AdjDE,AdjNR,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
2008,1,Kansas,6,B12,33,30–3,121.1,85.9,35.2,.9810,56.3,44.8,18.7,22.9,38.0,29.0,37.5,30.8,54.8,40.9,39.9,34.0,29.2,38.1,69.5,+9.9
2008,1,Memphis,5,CUSA,34,33–1,113.4,84.0,29.4,.9692,53.0,42.5,17.2,23.3,37.8,29.3,38.6,32.7,53.3,41.6,35.0,29.8,36.7,28.7,70.7,+9.0
2008,1,UCLA,4,P10,33,30–3,116.4,87.2,29.2,.9653,52.3,48.0,18.8,22.7,39.2,25.9,38.0,25.7,52.9,46.8,33.8,34.2,28.1,27.9,66.2,+10.7
2008,3,Wisconsin,2,B10,33,29–4,112.3,85.2,27.1,.9599,50.6,43.1,19.4,22.2,36.2,28.5,39.3,25.4,49.2,41.3,35.9,31.1,31.1,32.8,63.5,+8.2
2008,2,Duke,1,ACC,32,27–5,117.3,89.0,28.3,.9597,54.1,47.6,18.2,24.9,34.3,33.5,40.4,32.0,51.8,47.1,38.4,32.8,39.1,24.8,73.7,+8.9
2008,1,North Carolina,4,ACC,34,32–2,120.3,92.0,28.3,.9562,52.4,48.0,19.0,21.2,42.4,28.7,39.1,25.5,51.2,47.0,37.8,33.2,22.2,34.8,75.1,+11.9
2008,2,Georgetown,1,BE,32,27–5,113.2,88.2,25.0,.9467,56.2,41.9,20.9,20.2,33.1,33.0,34.0,35.8,55.6,40.3,38.0,29.9,40.0,34.6,63.0,+7.7
2008,2,Texas,3,B12,33,27–6,120.1,94.5,25.6,.9402,51.4,46.1,14.1,18.5,36.1,33.7,32.6,29.7,48.7,43.6,37.7,33.2,34.3,38.9,64.8,+8.4
2008,3,Louisville,3,BE,32,24–8,110.4,87.7,22.7,.9343,52.0,43.8,19.6,21.4,33.4,30.7,36.4,33.2,52.5,42.3,34.2,31.0,39.1,35.1,67.5,+4.7
2008,2,Tennessee,2,SEC,32,28–4,116.4,92.5,23.9,.9340,52.8,49.2,17.7,24.6,37.0,34.3,36.8,39.4,51.7,50.8,36.4,31.0,39.1,35.6,72.7,+9.2
2008,3,Stanford,2,P10,33,26–7,111.6,88.9,22.7,.9316,49.8,44.0,18.9,18.1,39.2,28.8,40.4,34.0,48.2,41.6,36.0,33.5,27.1,27.0,65.2,+6.7
2008,6,Marquette,1,BE,32,23–9,113.1,90.2,22.9,.9312,50.7,45.9,19.0,24.3,38.0,33.6,37.9,40.9,49.1,46.6,35.9,29.5,33.6,31.1,68.9,+3.8
2008,5,Clemson,0,ACC,32,23–9,113.7,90.8,22.9,.9296,52.0,47.8,20.4,24.6,40.2,36.7,30.4,33.1,49.6,49.1,38.0,29.8,32.7,28.6,69.6,+4.4
2008,3,Xavier,3,A10,33,27–6,115.3,92.6,22.7,.9262,55.0,46.8,20.3,20.0,36.5,29.5,41.7,31.5,52.8,44.6,39.2,33.5,37.1,37.8,65.8,+4.7
2008,4,Washington St.,2,P10,32,24–8,114.3,92.0,22.3,.9241,54.4,47.7,17.2,22.2,28.1,30.1,39.8,28.8,52.9,46.3,38.1,33.7,34.4,32.5,60.1,+4.9
2008,9,Texas A&M,1,B12,33,23–10,112.6,91.5,21.1,.9160,51.9,44.6,19.1,17.3,35.1,28.2,42.7,26.8,51.2,41.8,35.6,33.9,30.2,30.7,64.2,+3.0
2008,5,Michigan St.,2,B10,33,25–8,114.1,92.8,21.3,.9151,52.5,46.1,21.2,19.3,39.8,31.4,34.1,32.2,51.4,45.2,37.3,31.7,24.3,37.7,65.4,+5.1
2008,7,West Virginia,2,BE,33,23–10,113.2,92.5,20.7,.9113,51.6,47.7,16.3,23.3,34.1,31.4,37.1,38.9,50.6,45.1,35.8,35.4,35.0,32.1,65.8,+2.6
2008,5,Drake,0,MVC,30,26–4,118.1,96.5,21.6,.9111,52.8,49.8,18.1,24.0,36.6,32.9,34.3,23.7,50.9,49.2,36.6,33.8,45.5,39.3,64.2,+5.2
